,gpw_v4_count.2000.mean,gpw_v4_count.2005.mean,gpw_v4_count.2010.mean,gpw_v4_density.2000.mean,gpw_v4_density.2005.mean,gpw_v4_density.2010.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,accessibility_map.na.mean,gdp_grid.na.mean,diamond_distance_201708.na.sum,onshore_petroleum_v12.na.sum,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,gpw_v4_count.2001.mean,gpw_v4_count.2002.mean,gpw_v4_count.2003.mean,gpw_v4_count.2004.mean,gpw_v4_density.2001.mean,gpw_v4_density.2002.mean,gpw_v4_density.2003.mean,gpw_v4_density.2004.mean,gpw_v4_count.1998.mean,gpw_v4_density.1998.mean,gpw_v4_count.2011.mean,gpw_v4_count.2012.mean,gpw_v4_count.2013.mean,gpw_v4_count.2014.mean,gpw_v4_density.2011.mean,gpw_v4_density.2012.mean,gpw_v4_density.2013.mean,gpw_v4_density.2014.mean,gpw_v4_count.2006.mean,gpw_v4_count.2007.mean,gpw_v4_count.2008.mean,gpw_v4_count.2009.mean,gpw_v4_density.2006.mean,gpw_v4_density.2007.mean,gpw_v4_density.2008.mean,gpw_v4_density.2009.mean
22,40.170246212399995,46.3966330183,53.3203939097,46.9412263241,54.2170785954,62.3078355949,0.005187668802069999,0.0035985151297500003,0.0050038475852299995,0.0057239860907200004,0.00324403071335,0.006080912048279999,0.0143283905804,0.010126084099799999,0.013264456215700002,0.014063828006799999,0.0123188394432,0.012475736227400001,0.0175124601063,433.173113375,0.00871071401435,29739823512.9,,COD,Democratic Republic of the Congo,COD.6_1,Ituri,,,Province,Province,,CD.IT,41.415523573579996,42.66080093476,43.90607829594,45.15135565712,46.9412263241,46.9412263241,46.9412263241,46.9412263241,40.170246212399995,46.9412263241,53.3203939097,53.3203939097,53.3203939097,53.3203939097,62.3078355949,62.3078355949,62.3078355949,62.3078355949,47.781385196580004,49.16613737486,50.55088955314,51.93564173142,55.8352299953,57.4533813952,59.0715327951,60.689684195
23,16.3641661973,21.271185824,27.5100712527,19.209479210799998,24.9687964673,32.2912446753,0.0029478710647600007,0.0013968821914100002,0.00144078336304,0.0013441465870599998,0.0018913201870099999,0.00271777323787,0.00401967409402,0.005628945007069999,0.0042473096675700005,0.00503823271658,0.0058406447320400005,0.0040571323149199996,0.006449604722100001,406.91004845,0.00363461074779,6469693361.44,,COD,Democratic Republic of the Congo,COD.9_1,Kasaï,,,Province,Province,,CD.KS,17.34557012264,18.326974047980002,19.30837797332,20.28978189866,19.209479210799998,19.209479210799998,19.209479210799998,19.209479210799998,16.3641661973,19.209479210799998,27.5100712527,27.5100712527,27.5100712527,27.5100712527,32.2912446753,32.2912446753,32.2912446753,32.2912446753,22.51896290974,23.766739995480002,25.01451708122,26.26229416696,26.4332861089,27.8977757505,29.3622653921,30.8267550337
24,31.659032844299997,41.1519371496,53.2237121887,37.0698398012,48.1851596038,62.320086623,0.00571197451673,0.00365925370175,0.00196349976619,0.00218661856911,0.00629197652674,0.0078985318914,0.0101892408564,0.00873172576217,0.00764575915687,0.0067830130905600005,0.011944391607899998,0.0112899080491,0.0103082461974,313.865959852,0.007314115500729999,3244939841.6,,COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,,,Province,Province,,CD.LL,33.55761370536,35.456194566419995,37.35477542748,39.253356288540004,37.0698398012,37.0698398012,37.0698398012,37.0698398012,31.659032844299997,37.0698398012,53.2237121887,53.2237121887,53.2237121887,53.2237121887,62.320086623,62.320086623,62.320086623,62.320086623,43.56629215742,45.98064716524,48.39500217306,50.80935718088,51.01214500764,53.83913041148,56.66611581532,59.49310121916
25,206.391737826,243.050552373,284.785329148,241.305793363,284.165992836,332.96084495900004,0.161966416373,0.131815888148,0.138210318868,0.131731701505,0.15257334742,0.197582218489,0.20157717594799998,0.266037200538,0.196273098107,0.09875896997549999,0.08571767754489999,0.129240495074,0.126416384136,151.491346728,0.052184129318900006,244494869.55,,COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,,,Province,Province,,CD.KO,213.7235007354,221.0552636448,228.3870265542,235.7187894636,241.305793363,241.305793363,241.305793363,241.305793363,206.391737826,241.305793363,284.785329148,284.785329148,284.785329148,284.785329148,332.96084495900004,332.96084495900004,332.96084495900004,332.96084495900004,251.397507728,259.744463083,268.091418438,276.438373793,293.9249632606,303.68393368520003,313.4429041098,323.2018745344
26,417.68984700199996,441.786357988,464.908963588,502.646754472,531.9708291019999,560.081819813,2.1421038012,1.9945393769599997,2.1528844701299996,2.29937312265,2.17691901319,2.27498939202,2.37943628372,2.1612734388,2.0270496476099997,1.7672651831900001,1.9359940494799999,2.08600790727,1.52786145901,331.808992635,0.444353201264,1364281833.85,,COD,Democratic Republic of the Congo,COD.10_1,Kinshasa,,,Province,Province,,CD.KN,422.50914919919995,427.3284513964,432.1477535936,436.96705579080003,502.646754472,502.646754472,502.646754472,502.646754472,417.68984700199996,502.646754472,464.908963588,464.908963588,464.908963588,464.908963588,560.081819813,560.081819813,560.081819813,560.081819813,446.410879108,451.035400228,455.659921348,460.284442468,537.5930272441999,543.2152253864,548.8374235286,554.4596216708001
27,47.354027444799996,45.6219522218,43.7923287724,56.0391789487,53.98773551399999,51.8204533303,0.38718557926299996,0.403883707232,0.375747969387,0.396045373297,0.383791051078,0.403212378986,0.41662789715000004,0.404158252402,0.38951032754799997,0.331435859644,0.348051300533,0.296870804037,0.301147851784,296.899827129,0.04286308534680001,8737742456.12,983.6000001728537,COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,,,Province,Province,,CD.BC,47.007612400199996,46.661197355599995,46.314782311,45.9683672664,56.0391789487,56.0391789487,56.0391789487,56.0391789487,47.354027444799996,56.0391789487,43.7923287724,43.7923287724,43.7923287724,43.7923287724,51.8204533303,51.8204533303,51.8204533303,51.8204533303,45.25602753192,44.89010284204,44.52417815216,44.15825346228,53.55427907725999,53.12082264052,52.687366203779995,52.25390976704
28,14.9044688401,15.7850500655,16.6335208108,17.451683480899998,18.482584598800003,19.475850174,0.00079994033184,0.0,0.0005837159929049999,0.0,0.0,0.00018869461957700002,0.0,0.00034038833053900004,0.0,0.0,0.00033858898239000004,0.00113477481117,0.000234948306572,554.4626479259999,0.0026459414919800003,7820461289.38,,COD,Democratic Republic of the Congo,COD.12_1,Kwango,,,Province,Province,,CD.KG,15.08058508518,15.25670133026,15.43281757534,15.60893382042,17.451683480899998,17.451683480899998,17.451683480899998,17.451683480899998,14.9044688401,17.451683480899998,16.6335208108,16.6335208108,16.6335208108,16.6335208108,19.475850174,19.475850174,19.475850174,19.475850174,15.95474421456,16.12443836362,16.29413251268,16.46382666174,18.68123771384,18.87989082888,19.078543943920003,19.277197058960002
29,32.1953562662,34.101875416999995,35.9406245497,37.973244129,40.222549231799995,42.3921417553,0.0019083072872899999,0.0018293611104400003,0.00260034050738,0.0015884278373,0.0028756479919,0.0041858700167899995,0.00577872848222,0.00774504350947,0.008799380959270001,0.00828560021555,0.0129189808189,0.0140127449633,0.014775370301900001,284.96699245,0.00835623231416,4709461329.28,,COD,Democratic Republic of the Congo,COD.13_1,Kwilu,,,Province,Province,,CD.KU,32.57666009636,32.95796392652,33.339267756679995,33.720571586839995,37.973244129,37.973244129,37.973244129,37.973244129,32.1953562662,37.973244129,35.9406245497,35.9406245497,35.9406245497,35.9406245497,42.3921417553,42.3921417553,42.3921417553,42.3921417553,34.469625243539994,34.83737507007999,35.20512489662,35.57287472316,40.6564677365,41.0903862412,41.5243047459,41.9582232506
30,28.644438614699997,33.740585969499996,39.5463965373,33.5294033447,39.494633017199995,46.2905458828,0.00384801900707,0.0014751269447300002,0.00322957789102,0.00189818794827,0.000517861760746,0.00577628677092,0.00460075918589,0.00461564761018,0.0,0.00040801952893199995,0.000753253877392,0.0007532555528150001,0.00179024743896,271.440513415,0.00488504680457,6090993172.25,,COD,Democratic Republic of the Congo,COD.14_1,Lomami,,,Province,Province,,CD.LM,29.663668085659996,30.682897556619995,31.702127027579998,32.72135649854,33.5294033447,33.5294033447,33.5294033447,33.5294033447,28.644438614699997,33.5294033447,39.5463965373,39.5463965373,39.5463965373,39.5463965373,46.2905458828,46.2905458828,46.2905458828,46.2905458828,34.90174808306,36.062910196619995,37.22407231018,38.385234423739995,40.853815590319996,42.21299816344,43.57218073656,44.931363309679995
31,5.08614581481,7.447389039680001,10.8507317721,6.0105791816,8.80085782161,12.82253904,0.0312308593136,0.029919320922,0.027982063555099995,0.0276702978436,0.0230444439028,0.026750119535699998,0.0315702754031,0.028345964867700003,0.0326467201942,0.0346434411163,0.04983212127449999,0.056549130296800004,0.0655272412524,564.408737363,0.00489207447188,24597640141.2,,COD,Democratic Republic of the Congo,COD.15_1,Lualaba,,,Province,Province,,CD.LB,5.558394459784,6.030643104758,6.502891749732001,6.975140394706001,6.0105791816,6.0105791816,6.0105791816,6.0105791816,5.08614581481,6.0105791816,10.8507317721,10.8507317721,10.8507317721,10.8507317721,12.82253904,12.82253904,12.82253904,12.82253904,8.128057586164001,8.808726132648001,9.489394679132001,10.170063225616,9.605194065288,10.409530308966,11.213866552644,12.018202796322
32,7.769569446860001,8.22965828271,8.67371045178,9.22706972036,9.773416190510002,10.3008743829,0.00017522433643200002,0.000157569527704,0.00041675633889099996,0.00021710614689599998,0.0009416726797689999,0.0015862817253399998,0.00237860494289,0.00189063753597,0.00254201631448,0.0017018862089900001,0.0018250290233399998,0.00274551776634,0.0036084004506,600.663783211,0.00192658507259,17890074387.9,,COD,Democratic Republic of the Congo,COD.16_1,Maï-Ndombe,,,Province,Province,,CD.MA,7.861587214030001,7.953604981200001,8.04562274837,8.13764051554,9.22706972036,9.22706972036,9.22706972036,9.22706972036,7.769569446860001,9.22706972036,8.67371045178,8.67371045178,8.67371045178,8.67371045178,10.3008743829,10.3008743829,10.3008743829,10.3008743829,8.318468716524,8.407279150338,8.496089584152,8.584900017966,9.878907828988002,9.984399467466002,10.089891105944,10.195382744422
33,9.504597575730001,11.0373215818,12.7531613577,11.1910402275,12.9957177561,15.015998256700001,0.0005947442593049999,0.000508780235678,0.000755023610647,0.00026070361404700003,0.0016374549880499999,0.00360890121546,0.007319067303339999,0.00431063899258,0.00610270394999,0.00440523271695,0.004678611166329999,0.00714525119362,0.0071181869059,516.674728584,0.00267770465849,34704687375.0,,COD,Democratic Republic of the Congo,COD.17_1,Maniema,,,Province,Province,,CD.MN,9.811142376944002,10.117687178158,10.424231979372001,10.730776780586,11.1910402275,11.1910402275,11.1910402275,11.1910402275,9.504597575730001,11.1910402275,12.7531613577,12.7531613577,12.7531613577,12.7531613577,15.015998256700001,15.015998256700001,15.015998256700001,15.015998256700001,11.38048953698,11.723657492160001,12.066825447340001,12.40999340252,13.39977385622,13.80382995634,14.207886056460001,14.611942156580001
34,17.4595847567,19.912426924200002,22.5958459582,20.8423757491,23.7704627002,26.9738025323,0.0019125061497600002,0.0025799894326399998,0.00045530296070699994,0.0008043685471880001,0.00045530296070699994,0.00045530253912400004,0.00405222293014,0.0034754868896999997,0.00408258386008,0.00391563858136,0.008104281052529999,0.0061465594924899995,0.00921455648874,504.922301866,0.00385288761262,11170828914.3,,COD,Democratic Republic of the Congo,COD.18_1,Mongala,,,Province,Province,,CD.MO,17.9501531902,18.4407216237,18.931290057200002,19.4218584907,20.8423757491,20.8423757491,20.8423757491,20.8423757491,17.4595847567,20.8423757491,22.5958459582,22.5958459582,22.5958459582,22.5958459582,26.9738025323,26.9738025323,26.9738025323,26.9738025323,20.449110731,20.9857945378,21.522478344600003,22.059162151400002,24.41113066662,25.05179863304,25.692466599459998,26.33313456588
35,61.5411155643,72.5276057415,85.0592861396,71.82475814770001,84.6476637178,99.27435876969999,0.0159554386429,0.0116349262359,0.013191787879399999,0.0116809500263,0.0103099284247,0.0260452118539,0.0321524864278,0.052317726414199996,0.0643556278424,0.0723335380927,0.073681389224,0.06931438535069999,0.09948762106680001,356.643161407,0.0240823138209,25894879730.8,,COD,Democratic Republic of the Congo,COD.19_1,Nord-Kivu,,,Province,Province,,CD.NK,63.73841359974,65.93571163518,68.13300967062,70.33030770606,71.82475814770001,71.82475814770001,71.82475814770001,71.82475814770001,61.5411155643,71.82475814770001,85.0592861396,85.0592861396,85.0592861396,85.0592861396,99.27435876969999,99.27435876969999,99.27435876969999,99.27435876969999,75.03394182112,77.54027790074,80.04661398036001,82.55295005998,87.57300272818,90.49834173856,93.42368074894,96.34901975931999
36,12.3381509047,14.0708392897,15.966490833699998,14.4363347806,16.4629860748,18.6803379003,0.0113043836123,0.007919408531739999,0.00954177841052,0.00714199389312,0.0092927223761,0.00674010089375,0.007736567314369999,0.00632884398421,0.00867533566022,0.00907191403064,0.00842987270972,0.0071250552995300006,0.00874942858376,697.404422606,0.0036203072249099996,6192592150.36,0.0,COD,Democratic Republic of the Congo,COD.20_1,Nord-Ubangi,,,Province,Province,,CD.NU,12.684688581700001,13.0312262587,13.3777639357,13.7243016127,14.4363347806,14.4363347806,14.4363347806,14.4363347806,12.3381509047,14.4363347806,15.966490833699998,15.966490833699998,15.966490833699998,15.966490833699998,18.6803379003,18.6803379003,18.6803379003,18.6803379003,14.4499695985,14.8290999073,15.208230216099999,15.5873605249,16.9064564399,17.349926805,17.7933971701,18.2368675352
37,0.6959545251270001,0.820428612976,0.962439991515,0.816694511118,0.962799607028,1.12950173174,0.0,0.0,0.0,0.0,0.0,0.0,0.000236232782781,0.00022048744594299998,0.0,0.0,0.0,0.000968489339251,0.000322850339246,617.170260118,0.0019253956367100001,10712348205.7,,COD,Democratic Republic of the Congo,COD.21_1,Sankuru,,,Province,Province,,CD.SN,0.7208493426968,0.7457441602666001,0.7706389778364,0.7955337954062001,0.816694511118,0.816694511118,0.816694511118,0.816694511118,0.6959545251270001,0.816694511118,0.962439991515,0.962439991515,0.962439991515,0.962439991515,1.12950173174,1.12950173174,1.12950173174,1.12950173174,0.8488308886838,0.8772331643916,0.9056354400994,0.9340377158072001,0.9961400319704,1.0294804569128,1.0628208818552,1.0961613067976
38,46.112117884899995,52.26467990020001,58.9456859229,56.2193402286,63.7302587975,71.8889577077,0.0249391819136,0.0194683158535,0.0196920197604,0.0171511406654,0.0205911178439,0.0203359546225,0.0175546316101,0.0200484341498,0.024679332615,0.025112825228200002,0.025081846488600002,0.027599031066400003,0.051935797877699995,517.073519795,0.012288110542500001,23193784851.0,0.0,COD,Democratic Republic of the Congo,COD.22_1,Sud-Kivu,,,Province,Province,,CD.SK,47.34263028796,48.57314269102,49.80365509408,51.034167497140004,56.2193402286,56.2193402286,56.2193402286,56.2193402286,46.112117884899995,56.2193402286,58.9456859229,58.9456859229,58.9456859229,58.9456859229,71.8889577077,71.8889577077,71.8889577077,71.8889577077,53.600881104740004,54.93708230928,56.273283513820004,57.60948471836,65.36199857954,66.99373836158,68.62547814362,70.25721792566
