Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details
1052,2010,12,17,DR Congo,North Kivu,,Rutshuru/Kiwanja,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,BA,Am,U,-0.66667,28.75,"2 drivers from an INGO beaten and threatened with death during an attack on their organisation's vehicle, in which goods and money were stolen."
1083,2011,1,6,Sudan,Darfur,,Janub,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,BA,R,H,11.329444,25.08565623,"An INGO national staff member was attacked, stabbed and killed by an unknown group at his boarding place."
1231,2011,1,10,Sudan,Darfur,,,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,K,U,U,11.329444,25.08565623,Three national staff of an INGO were kidnapped by rebels and held for nine days before being released
1086,2011,1,13,Sudan,Western Darfur,,Southeast of Geneina ,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,K,IA,OC,13.4263009,22.6574884,Three Bulgarian air crew members working for a private company contracted by a UN humanitarian agency were abducted upon landing on the helipad. There were released six months later on 6 June 2012.
1239,2011,2,15,DR Congo,North Kivu,,Rutushuru,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,-1.183623,29.448832,"An INGO driver was wounded in both his arms after unidentified armed men in military clothing at the side of the road shot at his vehicle,"
1245,2011,3,16,Sudan,Eastern Equatoria,Torit ,Torit,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,4.40395555,32.59254986,The driver of a INGO-water tanker was shot and injured during an ambush that appeared directed at a commercial vehicle travelling in front of the INGO water truck in Torit (southern Sudan).
1280,2011,4,3,Sudan,Jonglei,Bor ,Bor,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,IA,U,6.1916214,31.604875,A UN national staff member was injured by blows to the head with a bottle in a non-work-related incident
1096,2011,4,10,DR Congo,South Kivu,,"Ngomo, Uvira",0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,0,2,U,Am,U,-3.39534,29.13779,"Two staff (one national, one international) were wounded when unidentified armed men in military uniforms attacked and looted an INGO vehicle."
1248,2011,4,10,Uganda,Northern Uganda,Kitgum ,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,U,U,3.236667,33.093056,"One national staff of na INGO was assaulted and robbed while returning home at around 23:00, in Kitgum. He was hospitalized."
1279,2011,4,13,Sudan,North Darfur,Kabkabiya,Kabkabiya,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,S,C,,16,26,"A UN national staff memberstaff was injured by a stray bullet during an exchange of gunfire between police and bank robbers in Kabkabiya, North Darfur in Sudan"
