"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"112009iati23318","112009iati23318_7731903","3","7731903","Sud Ubangi","3.16795","19.49877","ADM2","second-order administrative division","6295630|6255146|CD|02|7731903","Earth|Africa|DR Congo|Province de l’Équateur|Sud Ubangi","1","1"
"11200955233785","11200955233785_7731981","3","7731981","Matadi","-5.83246","13.48797","ADM2","second-order administrative division","6295630|6255146|CD|08|7731981","Earth|Africa|DR Congo|Province du Bas-Congo|Matadi","1","1"
"11200955233785","11200955233785_9179898","3","9179898","Ville de Kananga","-5.9","22.41667","ADM2","second-order administrative division","6295630|6255146|CD|03|9179898","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Ville de Kananga","1","1"
"11200955233785","11200955233785_2312894","3","2312894","Ville de Mbandaka","0.06667","18.26667","ADM2","second-order administrative division","6295630|6255146|CD|02|2312894","Earth|Africa|DR Congo|Province de l’Équateur|Ville de Mbandaka","1","1"
"11200955233785","11200955233785_209226","3","209226","Mbuji-Mayi City","-6.15","23.6","ADM2","second-order administrative division","6295630|6255146|CD|04|209226","Earth|Africa|Congo|Province du Kasaï-Oriental|Mbuji-Mayi City","1","1"
"11200955233785","11200955233785_8335011","3","8335011","Tshikapa City","-6.409","20.823","ADM2","second-order administrative division","6295630|6255146|CD|03|8335011","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Tshikapa City","1","1"
"11200955233782","11200955233782_8260568","3","8260568","Kinshasa Urban","-4.44028","15.41344","ADM2","second-order administrative division","6295630|6255146|CD|06|8260568","Earth|Africa|Congo|Kinshasa City|Kinshasa Urban","1","1"
"11200912512195","11200912512195_9179898","3","9179898","Ville de Kananga","-5.9","22.41667","ADM2","second-order administrative division","6295630|6255146|CD|03|9179898","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Ville de Kananga","1","1"
"11200955233765","11200955233765_2313860","3","2313860","Kwango District","-6.542","17.832","ADM2","second-order administrative division","6295630|6255146|CD|01|2313860","Earth|Africa|DR Congo|Bandundu Province|Kwango District","1","1"
"11200955233765","11200955233765_2313847","3","2313847","Kwilu District","-5.03333","18.81667","ADM2","second-order administrative division","6295630|6255146|CD|01|2313847","Earth|Africa|DR Congo|Bandundu Province|Kwilu District","1","1"
"1120098719513","1120098719513_2313860","3","2313860","Kwango District","-6.542","17.832","ADM2","second-order administrative division","6295630|6255146|CD|01|2313860","Earth|Africa|DR Congo|Bandundu Province|Kwango District","1","1"
"1120098719513","1120098719513_2313847","3","2313847","Kwilu District","-5.03333","18.81667","ADM2","second-order administrative division","6295630|6255146|CD|01|2313847","Earth|Africa|DR Congo|Bandundu Province|Kwilu District","1","1"
"1120097624844","1120097624844_8051180","3","8051180","Kolwezi","-10.495","25.635","ADM2","second-order administrative division","6295630|6255146|CD|05|8051180","Earth|Africa|DR Congo|Katanga Province|Kolwezi","1","1"
"112009iati23316","112009iati23316_8260563","3","8260563","North Kivu","-0.65515","29.03398","ADM2","second-order administrative division","6295630|6255146|CD|11|8260563","Earth|Africa|DR Congo|Nord Kivu|North Kivu","1","1"
