"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"AVFvsoh2mh2oA7aFUcKzEG","1120091055304","","2003","C","USD","5539377.62925"
"M9MLufPvYF3AFEcFdtCQSG","1120091055321","","2001","C","USD","1249444.43453"
"gKGxLbVWmdPopcidNfwkud","1120091055321","","2002","C","USD","1229536.63731"
"HrXg4DCJBp2G6wJtAfeZBg","1120091055321","","2003","C","USD","1324633.78091"
"EVUSBkv4KvUAoFz2ywCYVN","1120091055321","","2004","C","USD","2518155.7566"
"2jmGRiatXDd8s4TxkcF8CH","1120091055321","","2005","C","USD","5553438.3316"
"t72XakZduoYrHm3YCB38QY","1120091055321","","2006","C","USD","3497458.96155"
"6xsTEzMeCwVsfBcqnugWLK","1120091055320","","2002","C","USD","799198.814255"
"od9ianCfSBT5UMdJX2ab8o","1120091055320","","2003","C","USD","240842.505619"
"3GcmhaTCVab3TDou5KuD8U","1120091055320","","2004","C","USD","585617.617814"
"4QZRj7KaQECRjQq8gcLxGG","1120091055323","","2000","C","USD","9071515.90895"
"x92mxAebacHciA7qs6ZtBh","1120091055331","","2001","C","USD","306113.88646"
"LviAEbiB2bBtuV9P8iVXv3","1120091055331","","2002","C","USD","245907.327463"
"4z2gQ6MPKhKeidR8epUDFc","1120091055331","","2003","C","USD","361263.758429"
"Cr7Z8rRUe8LK8UueBYGX95","1120091055331","","2004","C","USD","234247.047126"
"fynEeETZu5YQ4VW9W2dvg4","1120091055335","","2000","C","USD","2299820.93466"
"RQiJmaWDZf3hyHrhbAjrsU","1120091055335","","2003","C","USD","1144001.90169"
"nshpAZWwfZySMM8wYmu6EP","1120091055335","","2004","C","USD","1405482.28275"
"EK6FrRW6py8ZZrwDrutyZj","1120091055335","","2006","C","USD","2306016.89772"
"cZ7sie3a2rJKUVXiZbGCwD","1120091055340","","2002","C","USD","2213165.94717"
"9zSGpNRB9PWU2s5kCKaZfC","1120091055340","","2003","C","USD","722527.516858"
"9GMDfV9LcTHr5TaBBVdmL","1120091055340","","2004","C","USD","3564068.82202"
