"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"8729935390","0","WATER & SANITATION REFORM STUDY-KFW","","start-actual","","end-planned","Germany","DEU","Uganda","UGA","140","Water supply and sanitation","Completion","2004","2004","142833.564721",""
"8729931911","0","EMERGENCE PROGAMME WATER/ SEWERAGE-KFW","2000-01-02","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2000","2003","794244.699389","305752.80368"
"8729931929","0","SUPPORT FOR PRIMARY EDUCATION","1995-05-04","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","1995","1996","2341399.7476","2273133.06351"
"8729922916","0","TA TO MINISTRY OF ENERGY","1999-01-02","start-actual","2001-07-31","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","1999","2002","1073845.73219","1002661.48558"
"8729931908","0","STUDY & EXPERT FUND IV-KFW","2000-08-10","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2000","2004","1809603.02369","1826380.71273"
"8729924928","0","ROAD MAINTENANCE IN EASTERN UGANDA","1997-05-28","start-actual","2007-01-17","end-planned","Germany","DEU","Uganda","UGA","210","Transport and storage","Completion","1992","2007","88652330.1071","74284484.8688"
"8729921937","0","SUPPORT TO IDPS-GULU, KITGUM,PADER","2002-07-18","start-actual","2002-12-31","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2002","2002","2719993.57149","2903428.33299"
"8729931938","0","TA FOR NATURAL RESOURCES- MTW","1995-05-04","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","1995","1996","1404839.84912","1363878.41418"
"8729931942","0","TA TO DIRECTORATE OF REFUGE-LG","1995-05-04","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","1995","2004","1873119.79836","1998190.17121"
"8729922945","0","TA UGANDA WILDLIFE AUTHORITY","2002-01-02","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2002","2003","651511.830872","764368.449758"
"8729921951","0","REFINANCING DFCU-KFW","2002-12-23","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2002","2003","4257578.79123","4897917.05071"
"8729922950","0","TA MINISTRY OF ENERGY","2002-01-02","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2002","2007","3161038.88321","4999150.1553"
"8729922956","0","JUSTICE, LAW AND ORDER REFORM 2003","2003-01-02","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2003","2004","1036714.05203","310724.183793"
